# Logfile created on 2026-03-25 04:34:22 +0100 by logger.rb/v1.5.3
2026-03-25 04:34:22 +0100: Memory Usage (448784K) : metal3_diffprb has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (448784K) : nwell_drw has 1216 polygons
2026-03-25 04:34:22 +0100: Memory Usage (448912K) : nwell_pin has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449040K) : nbulay_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449040K) : nbulay_pin has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449168K) : nbulay_block has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449168K) : emwind_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449296K) : emwind_opc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449296K) : deepco_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449424K) : deepco_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449424K) : mim_drw has 2 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449552K) : edgeseal_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449680K) : edgeseal_bound has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449680K) : substrate_drw has 723 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449680K) : substrate_text has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : dfpad_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : dfpad_pillar has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : dfpad_sbump has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : thickgateox_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : pldb_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : pwell_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : pwell_pin has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : pwell_block has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : ic_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : via3_drw has 3469 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_drw has 160 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_pin has 3 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_mask has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_filler has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_nofill has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_slit has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_text has 5 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_opc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_noqrc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_res has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_iprobe has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal4_diffprb has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : heattrans_drw has 1555 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : heatres_drw has 7 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : pempoly_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : fbe_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : empoly_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : ldmos_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : pbiwind_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : digisub_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : nodrc_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : text_drw has 1107 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : via4_drw has 3362 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_drw has 114 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_pin has 12 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_mask has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_filler has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_nofill has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_slit has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_text has 12 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_opc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_noqrc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_res has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_iprobe has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : metal5_diffprb has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : radhard_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : memcap_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : varicap_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : flash_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : intbondvia_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : intbondmet_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : devbondvia_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : devbondmet_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : devtrench_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : redist_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphbot_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphtop_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : antvia1_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : antmetal2_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphcont_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : siwg_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : siwg_filler has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : siwg_nofill has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : sigrating_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : singrating_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphpas_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : emwind3_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : emwihv3_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : redbulay_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : smos_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphpad_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : polimide_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : polimide_pin has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_pin has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_esd has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_diode has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_tsv has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_iprobe has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_diffprb has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_pillar has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_sbump has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_otp has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_pdiode has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_mom has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : recog_pcm has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : colopen_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphmetal1_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphmetal1_filler has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphmetal1_nofill has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphmetal1_slit has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphmetal1_opc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphmet1l_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphmet1l_filler has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphmet1l_nofill has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphmet1l_slit has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphmet1l_opc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : extblock_drw has 21 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : nldd_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : pldd_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : next_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : pext_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : nexthv_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : pexthv_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : graphgate_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : sinwg_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : sinwg_filler has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : sinwg_nofill has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : mempad_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : topvia1_drw has 689 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : topmetal1_drw has 125 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : topmetal1_pin has 20 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : topmetal1_mask has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : topmetal1_filler has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449808K) : topmetal1_nofill has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449936K) : topmetal1_slit has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449936K) : topmetal1_text has 20 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449936K) : topmetal1_noqrc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (449936K) : topmetal1_res has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450064K) : topmetal1_iprobe has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450064K) : topmetal1_diffprb has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450064K) : inldpwl_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450192K) : polyres_drw has 7 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450192K) : polyres_pin has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450192K) : vmim_drw has 578 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450192K) : nbulaycut_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450320K) : antmetal1_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450320K) : topvia2_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450320K) : topmetal2_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450448K) : topmetal2_pin has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450448K) : topmetal2_mask has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (450448K) : topmetal2_filler has 0 polygons
